from,to,support,confidence,lift,count
Senior Management & C-Suite,Senior Management & C-Suite,0,0.0819,133.7617,33
Data Science & Analytics,Data Science & Analytics,2e-04,0.0894,43.8908,131
IT Infrastructure & Networks,IT Infrastructure & Networks,4e-04,0.1402,42.0939,359
Legal & Compliance,Legal & Compliance,8e-04,0.1759,35.8147,646
Research & Academia,Research & Academia,7e-04,0.1539,32.663,596
Healthcare - Clinical,Healthcare - Clinical,9e-04,0.1573,25.0592,756
Cybersecurity & Compliance,Cybersecurity & Compliance,6e-04,0.1303,24.7611,513
ICT Management & Consulting,ICT Management & Consulting,0.0016,0.2045,23.6553,1335
Software & IT Development,Software & IT Development,0.0026,0.2554,23.376,2149
Social Work & Community Services,Social Work & Community Services,0.0012,0.1706,22.9996,949
Finance & Accounting,Finance & Accounting,0.0085,0.3955,17.304,6913
"Banking, Finance & Insurance","Banking, Finance & Insurance",0.0014,0.1524,16.2092,1139
IT Infrastructure & Networks,ICT Management & Consulting,4e-04,0.1223,14.1427,313
ICT Management & Consulting,IT Infrastructure & Networks,4e-04,0.0466,13.9784,304
"Creative, Media & Design","Creative, Media & Design",0.0051,0.242,13.3793,4165
Sales & Business Development,Sales & Business Development,0.0081,0.326,11.5004,6628
Marketing & Communications,Marketing & Communications,0.0034,0.2042,11.3329,2777
"Environment, Safety & Sustainability","Environment, Safety & Sustainability",0.003,0.1874,11.3301,2421
Construction & Architecture,Construction & Architecture,0.0054,0.2213,9.2361,4413
Healthcare - Nursing & Allied,Healthcare - Nursing & Allied,0.0156,0.3841,9.0691,12743
Customer Service & Support,Customer Service & Support,0.0014,0.1155,8.9189,1178
Software & IT Development,ICT Management & Consulting,7e-04,0.0713,8.2495,600
Human Resources & Recruitment,Human Resources & Recruitment,0.0052,0.2111,7.8898,4246
ICT Management & Consulting,Software & IT Development,6e-04,0.0801,7.3317,523
Project & Programme Management,Project & Programme Management,0.0017,0.1092,6.1848,1409
Software & IT Development,IT Infrastructure & Networks,2e-04,0.0189,5.673,159
IT Infrastructure & Networks,Software & IT Development,2e-04,0.0609,5.5766,156
Research & Academia,Data Science & Analytics,1e-04,0.0111,5.4495,43
Marketing & Communications,Data Science & Analytics,2e-04,0.0101,4.9806,138
Software & IT Development,Data Science & Analytics,1e-04,0.01,4.9008,84
Senior Management & C-Suite,Data Science & Analytics,0,0.0099,4.8719,4
Data Science & Analytics,Research & Academia,0,0.0212,4.4914,31
Data Science & Analytics,Software & IT Development,1e-04,0.0485,4.4351,71
Public Sector & Administration,Public Sector & Administration,0.004,0.1318,4.3781,3227
Data Science & Analytics,Marketing & Communications,1e-04,0.0785,4.3568,115
Education - Teaching,Education - Teaching,0.0423,0.4326,4.3485,34534
Healthcare - Nursing & Allied,Social Work & Community Services,0.0012,0.0301,4.0516,997
Engineering & Manufacturing,Engineering & Manufacturing,0.0338,0.3495,3.7751,27637
Social Work & Community Services,Healthcare - Nursing & Allied,0.0011,0.1598,3.7733,889
Supply Chain & Logistics,Supply Chain & Logistics,0.0205,0.2685,3.3902,16757
ICT Management & Consulting,Data Science & Analytics,1e-04,0.0067,3.3084,44
